"","Activity.Date","Subject.Taxonomic.Name","Sample.Tissue.Anatomy.Name","Group.Summary.Count","Group.Summary.Unit","Trophic.Level.Name","Functional.Feeding.Group","Monitoring.Location.Identifier"
"144258",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144515",2006-09-28,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144516",2006-09-28,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144517",2006-09-28,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144518",2006-09-28,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144519",2006-09-28,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144520",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144521",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144522",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144523",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144524",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144525",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144526",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144527",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144528",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"144529",2006-09-28,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4996690"
"152343",2005-11-29,"Bacillariophyta","",28800,"count",NA,"","UTAHDWQ_WQX-4996810"
"152344",2005-11-29,"Bacillariophyta","",28800,"count",NA,"","UTAHDWQ_WQX-4996810"
"152345",2005-11-29,"Asterionella formosa","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"152346",2005-11-29,"Bacillariophyta","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"152347",2005-11-29,"Bacillariophyta","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"152348",2005-11-29,"Fragilaria crotonensis","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"152349",2005-11-29,"Aulacoseira granulata var. angustissima","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"152350",2005-11-29,"Asterionella formosa","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152351",2005-11-29,"Asterionella formosa","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152352",2005-11-29,"Asterionella formosa","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152353",2005-11-29,"Fragilaria crotonensis","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152354",2005-11-29,"Fragilaria crotonensis","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152355",2005-11-29,"Fragilaria crotonensis","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152356",2005-11-29,"Aulacoseira granulata var. angustissima","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152357",2005-11-29,"Aulacoseira granulata var. angustissima","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152358",2005-11-29,"Aulacoseira granulata var. angustissima","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"152359",2005-11-29,"Bacillariophyta","",3600,"count",NA,"","UTAHDWQ_WQX-4996810"
"152360",2005-11-29,"Bacillariophyta","",3600,"count",NA,"","UTAHDWQ_WQX-4996810"
"152361",2005-11-29,"Bacillariophyta","",3600,"count",NA,"","UTAHDWQ_WQX-4996810"
"152362",2005-11-29,"Bacillariophyta","",28800,"count",NA,"","UTAHDWQ_WQX-4996810"
"153307",2005-10-26,"Bacillariophyta","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"153308",2005-10-26,"Bacillariophyta","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"153309",2005-10-26,"Chlorophyta (Chlorophyta)","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"153310",2005-10-26,"Cosmarium","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"153311",2005-10-26,"Aulacoseira granulata var. angustissima","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"153312",2005-10-26,"Scenedesmus","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"153313",2005-10-26,"Stephanodiscus niagarae","",NA,"",NA,"","UTAHDWQ_WQX-4996810"
"153314",2005-10-26,"Chlorophyta (Chlorophyta)","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153315",2005-10-26,"Chlorophyta (Chlorophyta)","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153316",2005-10-26,"Chlorophyta (Chlorophyta)","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153317",2005-10-26,"Cosmarium","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153318",2005-10-26,"Cosmarium","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153319",2005-10-26,"Cosmarium","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153320",2005-10-26,"Scenedesmus","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153321",2005-10-26,"Scenedesmus","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153322",2005-10-26,"Scenedesmus","",1200,"count",NA,"","UTAHDWQ_WQX-4996810"
"153323",2005-10-26,"Bacillariophyta","",2400,"count",NA,"","UTAHDWQ_WQX-4996810"
"153324",2005-10-26,"Bacillariophyta","",2400,"count",NA,"","UTAHDWQ_WQX-4996810"
"153325",2005-10-26,"Bacillariophyta","",2400,"count",NA,"","UTAHDWQ_WQX-4996810"
"153326",2005-10-26,"Aulacoseira granulata var. angustissima","",2400,"count",NA,"","UTAHDWQ_WQX-4996810"
"153327",2005-10-26,"Aulacoseira granulata var. angustissima","",2400,"count",NA,"","UTAHDWQ_WQX-4996810"
"153328",2005-10-26,"Aulacoseira granulata var. angustissima","",2400,"count",NA,"","UTAHDWQ_WQX-4996810"
"153329",2005-10-26,"Stephanodiscus niagarae","",6000,"count",NA,"","UTAHDWQ_WQX-4996810"
"153330",2005-10-26,"Stephanodiscus niagarae","",6000,"count",NA,"","UTAHDWQ_WQX-4996810"
"153331",2005-10-26,"Stephanodiscus niagarae","",6000,"count",NA,"","UTAHDWQ_WQX-4996810"
"153332",2005-10-26,"Bacillariophyta","",36000,"count",NA,"","UTAHDWQ_WQX-4996810"
"153333",2005-10-26,"Bacillariophyta","",36000,"count",NA,"","UTAHDWQ_WQX-4996810"
"153334",2005-10-26,"Bacillariophyta","",36000,"count",NA,"","UTAHDWQ_WQX-4996810"
"153388",2005-10-14,"Heptageniidae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153389",2005-10-14,"Apatania","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153390",2005-10-14,"Chironominae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153391",2005-10-14,"Chloroperlidae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153392",2005-10-14,"Cinygmula","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153393",2005-10-14,"Drunella doddsii","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153394",2005-10-14,"Epeorus","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153395",2005-10-14,"Ephemerellidae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153396",2005-10-14,"Hydropsyche","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153397",2005-10-14,"Leuctridae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153398",2005-10-14,"Maruina","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153399",2005-10-14,"Micrasema","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153400",2005-10-14,"Orthocladiinae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153401",2005-10-14,"Probezzia","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153402",2005-10-14,"Rhithrogena","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153403",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153404",2005-10-14,"Simulium","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153405",2005-10-14,"Tanypodinae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153406",2005-10-14,"Trombidiformes","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153407",2005-10-14,"Wormaldia","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153408",2005-10-14,"Zapada oregonensis","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153409",2005-10-14,"Apatania","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153410",2005-10-14,"Baetis","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153411",2005-10-14,"Chironominae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153412",2005-10-14,"Chloroperlidae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153413",2005-10-14,"Cinygmula","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153414",2005-10-14,"Drunella doddsii","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153415",2005-10-14,"Epeorus","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153416",2005-10-14,"Ephemerellidae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153417",2005-10-14,"Heptageniidae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153418",2005-10-14,"Hydropsyche","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153419",2005-10-14,"Leuctridae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153420",2005-10-14,"Maruina","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153421",2005-10-14,"Micrasema","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153422",2005-10-14,"Orthocladiinae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153423",2005-10-14,"Probezzia","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153424",2005-10-14,"Rhithrogena","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153425",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153426",2005-10-14,"Simulium","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153427",2005-10-14,"Tanypodinae","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153428",2005-10-14,"Trombidiformes","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153429",2005-10-14,"Wormaldia","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153430",2005-10-14,"Zapada oregonensis","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153431",2005-10-14,"Baetis","",NA,"",NA,"","UTAHDWQ_WQX-5912050"
"153434",2005-10-14,"Hesperoperla pacifica","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153435",2005-10-14,"Ameletus","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153436",2005-10-14,"Apatania","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153437",2005-10-14,"Arctopsyche grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153438",2005-10-14,"Baetis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153439",2005-10-14,"Bibiocephala grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153440",2005-10-14,"Chironomidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153441",2005-10-14,"Chironominae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153442",2005-10-14,"Chloroperlidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153443",2005-10-14,"Cinygmula","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153444",2005-10-14,"Drunella doddsii","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153445",2005-10-14,"Drunella grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153446",2005-10-14,"Epeorus","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153447",2005-10-14,"Ephemerellidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153448",2005-10-14,"Glossosoma","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153449",2005-10-14,"Heptageniidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153450",2005-10-14,"Heterlimnius corpulentus","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153451",2005-10-14,"Hydropsychidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153452",2005-10-14,"Megarcys","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153453",2005-10-14,"Micrasema","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153454",2005-10-14,"Orthocladiinae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153455",2005-10-14,"Parapsyche elsis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153456",2005-10-14,"Pericoma","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153457",2005-10-14,"Plecoptera","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153458",2005-10-14,"Probezzia","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153459",2005-10-14,"Pteronarcella badia","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153460",2005-10-14,"Rhithrogena","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153461",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153462",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153463",2005-10-14,"Skwala","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153464",2005-10-14,"Sweltsa","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153465",2005-10-14,"Taeniopterygidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153466",2005-10-14,"Trombidiformes","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153467",2005-10-14,"Zapada cinctipes","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153468",2005-10-14,"Zapada oregonensis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153469",2005-10-14,"Ameletus","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153470",2005-10-14,"Apatania","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153471",2005-10-14,"Arctopsyche grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153472",2005-10-14,"Baetis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153473",2005-10-14,"Bibiocephala grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153474",2005-10-14,"Chironomidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153475",2005-10-14,"Chironominae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153476",2005-10-14,"Chloroperlidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153477",2005-10-14,"Cinygmula","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153478",2005-10-14,"Drunella doddsii","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153479",2005-10-14,"Drunella grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153480",2005-10-14,"Epeorus","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153481",2005-10-14,"Ephemerellidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153482",2005-10-14,"Glossosoma","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153483",2005-10-14,"Heptageniidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153484",2005-10-14,"Hesperoperla pacifica","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153485",2005-10-14,"Heterlimnius corpulentus","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153486",2005-10-14,"Hydropsychidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153487",2005-10-14,"Megarcys","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153488",2005-10-14,"Micrasema","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153489",2005-10-14,"Orthocladiinae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153490",2005-10-14,"Parapsyche elsis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153491",2005-10-14,"Pericoma","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153492",2005-10-14,"Plecoptera","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153493",2005-10-14,"Probezzia","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153494",2005-10-14,"Pteronarcella badia","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153495",2005-10-14,"Rhithrogena","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153496",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153497",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153498",2005-10-14,"Skwala","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153499",2005-10-14,"Sweltsa","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153500",2005-10-14,"Taeniopterygidae","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153501",2005-10-14,"Trombidiformes","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153502",2005-10-14,"Zapada cinctipes","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153503",2005-10-14,"Zapada oregonensis","",NA,"",NA,"","UTAHDWQ_WQX-5912120"
"153506",2005-10-14,"Capniidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153507",2005-10-14,"Bibiocephala grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153508",2005-10-14,"Blephariceridae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153509",2005-10-14,"Chironomidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153510",2005-10-14,"Cinygmula","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153511",2005-10-14,"Drunella doddsii","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153512",2005-10-14,"Epeorus","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153513",2005-10-14,"Ephemerellidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153514",2005-10-14,"Glossosoma","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153515",2005-10-14,"Hydropsychidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153516",2005-10-14,"Megarcys","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153517",2005-10-14,"Pericoma","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153518",2005-10-14,"Probezzia","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153519",2005-10-14,"Rhithrogena","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153520",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153521",2005-10-14,"Rhyacophila","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153522",2005-10-14,"Simulium","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153523",2005-10-14,"Skwala","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153524",2005-10-14,"Sweltsa","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153525",2005-10-14,"Taeniopterygidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153526",2005-10-14,"Trombidiformes","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153527",2005-10-14,"Zapada cinctipes","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153528",2005-10-14,"Zapada oregonensis","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153529",2005-10-14,"Ameletus","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153530",2005-10-14,"Arctopsyche grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153531",2005-10-14,"Baetidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153532",2005-10-14,"Baetis","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153533",2005-10-14,"Bibiocephala grandis","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153534",2005-10-14,"Blephariceridae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153535",2005-10-14,"Capniidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153536",2005-10-14,"Chironomidae","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
"153537",2005-10-14,"Cinygmula","",NA,"",NA,"","UTAHDWQ_WQX-5912150"
